"Estimate","SE","Lower","Upper","shrinkage"
1.44699071976432,2.6058852852219,0.644836619462931,1.96052070483126,2.08304277075765
1.5486972865305,2.66954748922014,0.728593827060654,1.98157112127486,2.09244281778218
1.65074674058126,2.72591191765691,0.814338943734128,2.00390998228076,2.10294787886916
1.75204820023502,2.75023174675891,0.900363195496679,2.02009979746663,2.10653120506043
1.85300221394568,2.76721825681931,0.998487621809988,2.03597427192418,2.10772003580289
1.95683200137955,2.76224270028922,1.09901803452342,2.0518340550781,2.10848642347176
2.0485508865066,2.77040421944534,1.2135467943442,2.06533378553583,2.10425200588121
2.14907177443897,2.73970019680835,1.32880318542062,2.07620227900937,2.09695307656325
2.24521240071608,2.69169798713135,1.44640622647846,2.0859726810465,2.08803047662355
2.3415002765463,2.64032383689125,1.58251795151202,2.0948369609931,2.07497143071827
2.43235373438748,2.5740766389777,1.69940429596931,2.10378349906078,2.06524869623769
2.52239218261259,2.50222138357799,1.84217912396838,2.11059399058092,2.04876909519784
2.61376676217307,2.42291999244652,1.99021556508998,2.11723275832429,2.03120959236053
2.69713927029354,2.33065169037578,2.13064364011459,2.12277795216,2.01371141155617
2.77757868856564,2.23385341185332,2.30060479367788,2.12801353889629,1.99088328499111
2.85756683342571,2.12749370097759,2.45869182157774,2.13326213164382,1.97007349732241
2.93379652422703,2.01804149690375,2.62811148117293,2.1378342881048,1.94659503497355
3.00501400029243,1.91186436614578,2.80487892526794,2.14193283260595,1.92134711164518
3.07866928049747,1.77463723391367,3.01367145501143,2.14477860048453,1.88929424505144
3.14551312942691,1.65206034768067,3.21789144512784,2.14745503010172,1.85782368963657
3.21049067566191,1.54200978038053,3.46435459583856,2.15024878899572,1.8193556344969
3.27036261962015,1.42193237370236,3.67942534786845,2.15252613605967,1.78560780285434
3.32499412468602,1.31494224520395,3.91508003182162,2.15443705701305,1.74797670007111
3.38472553188311,1.18996421410105,4.12273770146069,2.15631279135638,1.71503084792201
3.43276483510445,1.08448668984264,4.3228890659292,2.15793872261284,1.68307243000928
-0.446429226421019,-0.503421207594137,-0.358564717420802,-0.535950737106254,-0.538683647827776
-0.446352367917841,-0.503298453267487,-0.358516197537254,-0.53522843331846,-0.537884300472951
-0.446363049230592,-0.503401987210102,-0.358493370196866,-0.538384822234149,-0.541416993773577
-0.446366850828719,-0.503467842316579,-0.358447025465873,-0.541071868719569,-0.544428931127306
-0.446390702821547,-0.503520827380473,-0.358406067495706,-0.541030782255423,-0.544389908276113
-0.446346189190866,-0.503441974169483,-0.358331460157949,-0.541074564597717,-0.544451447147551
